permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/blooie,Blooie,http://bloo.ie,Analytics|Chat|Content|Ediscovery|Messaging|Social Media,158865,operating,GBR,I7,Newcastle,Newcastle Upon Tyne,2,19-09-2011,01-09-2011,01-02-2012
/organization/bloom,Bloom Health,http://www.bloomhealth.com,Health and Insurance|Health and Wellness|Health Care|Health Care Information Technology,5000000,operating,USA,MN,Minneapolis,Minneapolis,2,22-12-2009,07-01-2010,22-10-2010
/organization/bloom-8,Bloom,https://bloomcloser.com/,Consumer Electronics|Consumer Goods|Elder Care|Social Media|Technology|Wearables,1000000,operating,USA,MA,Boston,Boston,1,23-02-2013,23-02-2015,23-02-2015
/organization/bloom-capital,Bloom Capital,http://www.bloom-capital.com,Finance|FinTech,50000000,operating,,,,,1,30-04-2006,30-04-2006,30-04-2006
/organization/bloom-com,Bloom.com,http://www.bloom.com,Fashion,5400000,operating,USA,NE,Omaha,Omaha,1,15-06-2010,03-03-2012,03-03-2012
/organization/bloom-energy,Bloom Energy,http://www.bloomenergy.com,Clean Technology,1110000000,operating,USA,CA,SF Bay Area,Sunnyvale,6,01-01-2001,01-01-2008,27-01-2015
/organization/bloom-studio,Bloom Studio,http://bloom.io,Android|Games|iOS|Visualization,-,closed,GBR,I5,Middlesbrough,Middlesbrough,1,01-07-2010,31-03-2011,31-03-2011
/organization/bloom-wild,Bloom & Wild,http://www.bloomandwild.com,E-Commerce,3878283,operating,GBR,H9,London,London,1,01-01-2013,27-07-2015,27-07-2015
/organization/bloomage-biotechnology-corporation-limited,Bloomage BioTechnology Corporation Limited,http://www.bloomagebio-tech.com/e/index.php,Biotechnology,85000000,operating,CHN,7,CHN - Other,Shangdong,1,,06-11-2015,06-11-2015
/organization/bloomboard,BloomBoard,http://www.bloomboard.com,Education,12200000,operating,USA,CA,SF Bay Area,Palo Alto,3,10-03-2010,01-05-2011,30-06-2015
/organization/bloomerang,Bloomerang,https://bloomerang.co,CRM|Nonprofits|Software,930000,operating,USA,IN,Indianapolis,Indianapolis,1,01-08-2012,04-10-2012,04-10-2012
/organization/bloomery-plantation-distillery-bloomery-sweetshine,Bloomery Plantation Distillery Bloomery SweetShine,http://bloomerysweetshine.com/,,-,operating,USA,WV,WV - Other,Charles Town,1,17-09-2011,21-09-2014,21-09-2014
/organization/bloomfire,Bloomfire,http://www.bloomfire.com,Blogging Platforms|Collaboration|Education|Social Media|Software|Training|Video|Web Tools,20000000,operating,USA,TX,Austin,Austin,3,08-02-2010,26-03-2012,29-05-2013
/organization/bloominous,Bloominous,http://bloominous.com,DIY|E-Commerce|Events|Flowers|Weddings,200000,operating,USA,CA,Los Angeles,Los Angeles,1,06-09-2013,11-03-2014,11-03-2014
/organization/bloomnation,BloomNation,https://www.bloomnation.com,E-Commerce|Flowers,7150000,operating,USA,CA,Los Angeles,Los Angeles,2,22-03-2010,24-10-2013,07-10-2014
/organization/bloomon,Bloomon,http://www.bloomon.nl/,Startups,3935960,operating,NLD,7,Amsterdam,Amsterdam,1,,02-09-2015,02-09-2015
/organization/bloompop,Bloompop,https://www.bloompop.com/,Design|Events|Weddings,-,operating,USA,DC,"Washington, D.C.",Washington,1,01-01-2013,31-10-2014,31-10-2014
/organization/bloomreach,BloomReach,http://www.bloomreach.com,Enterprise Software,41000000,operating,USA,CA,SF Bay Area,Mountain View,3,01-01-2009,01-09-2008,18-10-2012
/organization/bloomspot-com,Bloomspot,http://www.bloomspot.com,E-Commerce|Flash Sales,51050000,acquired,USA,CA,SF Bay Area,San Francisco,4,01-01-2010,01-01-2009,01-08-2011
/organization/bloomthat,BloomThat,http://www.bloomthat.com,Consumer Goods|E-Commerce|Flowers|Mobile,7600000,operating,USA,CA,SF Bay Area,San Francisco,2,01-06-2013,06-02-2014,11-06-2015
/organization/bloomz,"Bloomz, Inc.",http://www.bloomz.net,Education|Information Technology|Mobile Software Tools,-,operating,USA,WA,Seattle,Redmond,3,01-01-2014,22-01-2014,13-11-2015
/organization/blooom,Blooom,http://www.blooom.com,Finance|Investment Management,4000000,operating,USA,KS,Kansas City,Leawood,1,01-01-2013,15-10-2015,15-10-2015
/organization/bloowatch,Bloowatch,http://bloowatch.com/,Aquaculture|Mobile|Private School,16773,operating,,,,,1,01-01-2015,25-09-2015,25-09-2015
/organization/bloson,Bloson,http://www.bloson.com,Nonprofits,-,operating,USA,MA,Boston,Cambridge,1,01-04-2009,01-01-2009,01-01-2009
/organization/blossom,Blossom,http://www.blossom.io,Software|Startups|User Experience Design,40000,operating,USA,CA,SF Bay Area,San Francisco,1,01-01-2011,26-03-2012,26-03-2012
/organization/blossom-records,Blossom Records,http://www.blossomrecords.co.uk,Music,-,operating,GBR,I9,London,Norwich,1,01-04-2012,02-04-2014,02-04-2014
/organization/blossomandtwigs-com,BlossomandTwigs.com,http://www.blossomandtwigs.com,E-Commerce|Flowers|Gift Card,500000,closed,GBR,H9,London,London,1,01-09-2009,01-09-2009,01-09-2009
/organization/blottr,Blottr,http://www.blottr.com,Content|Journalism|News,769035,operating,GBR,H9,London,London,2,01-08-2010,12-02-2013,21-02-2013
/organization/bloves,BLOVES,http://www.bloves.com/,Manufacturing,34392386,operating,CHN,30,Shenzhen,Shenzhen,3,,01-04-2010,01-01-2014
/organization/blowhorn,Blowhorn,http://www.blowhorn.net/,Marketplaces|Travel,-,operating,IND,19,Bangalore,Bangalore,1,01-01-2013,13-11-2014,13-11-2014
/organization/blownaway,Blownaway,http://www.blownawayapp.com,Beauty|Mobile,975000,operating,USA,TX,Dallas,Dallas,2,01-02-2013,23-01-2014,15-07-2014
/organization/blowout-boutique-birmingham,Blowout Boutique,http://blowoutboutique.com,E-Commerce,374000,operating,USA,AL,Birmingham,Birmingham,1,01-01-2011,08-12-2011,08-12-2011
/organization/blowtorch,Blowtorch,http://www.blowtorch.com,Entertainment|Games,50000000,closed,USA,CA,SF Bay Area,Sausalito,1,,01-11-2007,01-11-2007
/organization/bloxr,Bloxr,http://bloxr.com,Health and Wellness,7070000,operating,USA,UT,Salt Lake City,Salt Lake City,5,01-01-2009,15-12-2010,29-07-2014
/organization/bloxy,Bloxy,http://www.bloxyworld.com,3D|Games|iOS|iPad|iPhone|Kids|Toys,250000,operating,POL,78,Warsaw,Warsaw,1,01-07-2012,28-01-2014,28-01-2014
/organization/blu-homes,Blu Homes,http://www.bluhomes.com,Real Estate,197500000,operating,USA,CA,SF Bay Area,Vallejo,5,01-01-2008,05-05-2011,14-01-2015
/organization/blu-sky,Blu Sky,http://www.bluscs.com,Education|Software,-,operating,USA,WA,Seattle,Bellingham,2,01-01-1999,03-07-2012,03-07-2012
/organization/blu-wireless-technology,Blu Wireless Technology,http://bluwirelesstechnology.com,Hardware + Software,3030502,operating,GBR,B7,Bristol,Bristol,1,01-01-2009,12-09-2013,12-09-2013
/organization/bluapp,Bluapp,http://www.bluapp.cl,Analytics|Application Platforms|Apps|Internet of Things|Mobile|Mobile Commerce|Retail|SaaS|Sensors,40000,operating,CHL,12,Santiago,Santiago,1,26-02-2014,03-09-2014,03-09-2014
/organization/bluazu,BluAzu,http://findmyscout.com,Software,165000,operating,USA,FL,Gainesville,Gainesville,1,,15-06-2015,15-06-2015
/organization/blubond,BluBond,http://www.blubond.com/,Celebrity|Charity|E-Commerce|Fashion,1250000,operating,USA,CA,SF Bay Area,San Francisco,2,,03-03-2014,01-04-2014
/organization/blubox-in-making-brands-click,BLUBOX.in,http://blubox.in/index.html,Analytics|Databases|Internet|Technology,100000,operating,IND,16,Mumbai,Mumbai,2,01-07-2012,01-04-2014,04-09-2015
/organization/blucarat,Blucarat,http://www.blucarat.com,Curated Web,1000000,operating,USA,NY,New York City,New York,1,01-01-2013,04-11-2013,04-11-2013
/organization/blucup,Blucup Ltd,http://www.zerokeyboard.com,Application Platforms|Computers|Software,968755,operating,FIN,13,Helsinki,Helsinki,6,07-10-2013,26-05-2014,18-09-2015
/organization/blue-3,blue,http://wallets.jp/,Apps|Internet|Software,459923,operating,,,,,1,01-07-2013,30-07-2014,30-07-2014
/organization/blue-ant-media,Blue Ant Media,http://blueantmedia.ca,Content Creators|Digital Media|Entertainment|Events|Television,65500000,operating,CAN,ON,Toronto,Toronto,3,01-01-2011,01-12-2011,01-08-2013
/organization/blue-apron,Blue Apron,http://www.blueapron.com,Cooking|Delivery|E-Commerce|Hospitality,193000000,operating,USA,NY,New York City,New York,4,01-01-2012,19-02-2013,09-06-2015
/organization/blue-badge-style,Blue Badge Style,http://www.bluebadgestyle.com,Curated Web|Fashion|Lifestyle,63906,operating,GBR,G1,Brentford,Brentford,1,01-01-2008,08-09-2012,08-09-2012
/organization/blue-bay-technologies,Blue Bay Technologies,http://bluebaytech.com,Engineering Firms|Industrial Automation|Robotics|Services,100000,operating,USA,MN,Minneapolis,Excelsior,1,01-01-2007,02-01-2014,02-01-2014
